ShowId,artist,title,album
16,"Sir Douglas Quintet",Mendocino,"Easy Rider Soundtrack (Deluxe Edition)"
16,"Stealers Wheel","Stuck In The Middle With You","Clowns To The Left, Jokers To The Right 1970-1982"
16,"Gene Vincent & His Blue Caps","Woman Love","The Screaming End: The Best of Gene Vincent & His Blue Caps"
16,"James Brown","I'll Go Crazy (live)","The Sky Is Crying: The History of Elmore James"
16,"Jimi Hendrix Experience","Up From The Skies","Axis: Bold As Love"
16,"Derek & The Dominos","Roll It Over","Eric Clapton Crossroads"
16,Kinks,"Waterloo Sunset","The EP Collection"
16,"Guitar Slim","The Cackle","Atco Sessions"
16,Troggs,"I Can't Control Myself","The Best of The Troggs"
16,"Chuck Berry","Rockin' At The Philharmonic","The Chess Box"
16,"J.J. Cale","Ride Me High",Troubadour
16,"Van Morrison","Blue Money","His Band And The Street Choir"
16,"Staple Singers","Respect Yourself","Stax Profiles"
16,"Curtis Mayfield & The Impressions","I'm So Proud (live)","Chess Blues Classics: 1947 to 1956"
16,"Willie Dixon","29 Ways","The Chess Box"
16,Pretenders,"Middle Of The Road","Learning To Crawl"
16,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
17,"Van Morrison",Domino,"His Band And The Street Choir"
17,"Electric Light Orchestra",Showdown,"On The Third Day"
17,"Rolling Stones","Rip This Joint","Exile On Main St. (Deluxe Edition)"
17,"J.J. Cale","Call Me The Breeze","Anyway The Wind Blows - The Anthology"
17,Hollies,"King Midas In Reverse","30th Anniversary Collection 1963-1993"
17,"Rick Nelson","She Belongs To Me","The Best of Rick Nelson"
17,"Arthur Conley","Funky Street","Sock It To ‘Em SOUL: 60's Club Soul Classics"
17,Creation,"Can I Join Your Band","We Are Paintermen"
17,"Jimi Hendrix Experience","House Burning Down","Electric Ladyland"
17,"John Mayall","All Your Love","Bluesbreakers with Eric Clapton"
17,"Tina Turner","River Deep – Mountain High","River Deep – Mountain High"
17,"Sam & Dave","Don't Turn Your Heater On","Sock It To ‘Em SOUL: 60's Club Soul Classics"
17,Nazz,"Open My Eyes","Nuggets: Original Artyfacts From The First Psychedelic Era 1965-1968"
17,"James Gang",Bluebird,"Yer' Album"
17,"Cat Stevens","Wild World","Greatest Hits"
